DATE,INTDSRKRM193N
2009-01-01,1.3333333333333333
2009-04-01,1.25000000000000000000
2009-07-01,1.25000000000000000000
2009-10-01,1.25000000000000000000
2010-01-01,1.25000000000000000000
2010-04-01,1.25000000000000000000
2010-07-01,1.25000000000000000000
2010-10-01,1.25000000000000000000
2011-01-01,1.3333333333333333
2011-04-01,1.5000000000000000
2011-07-01,1.5000000000000000
2011-10-01,1.5000000000000000
2012-01-01,1.5000000000000000
2012-04-01,1.5000000000000000
2012-07-01,1.5000000000000000
2012-10-01,1.25000000000000000000
2013-01-01,1.25000000000000000000
2013-04-01,1.25000000000000000000
2013-07-01,1.00000000000000000000
2013-10-01,1.00000000000000000000
2014-01-01,1.00000000000000000000
2014-04-01,1.00000000000000000000
2014-07-01,1.00000000000000000000
2014-10-01,1.00000000000000000000
2015-01-01,1.00000000000000000000
2015-04-01,0.75000000000000000000
2015-07-01,0.75000000000000000000
2015-10-01,0.75000000000000000000
2016-01-01,0.66666666666666666667
2016-04-01,0.50000000000000000000
2016-07-01,0.50000000000000000000
2016-10-01,0.50000000000000000000
2017-01-01,0.50000000000000000000
2017-04-01,0.50000000000000000000
2017-07-01,0.50000000000000000000
2017-10-01,0.50000000000000000000
2018-01-01,0.50000000000000000000
2018-04-01,0.50000000000000000000
2018-07-01,0.50000000000000000000
2018-10-01,0.50000000000000000000
2019-01-01,0.50000000000000000000
2019-04-01,0.50000000000000000000
2019-07-01,0.50000000000000000000
2019-10-01,0.50000000000000000000
2020-01-01,0.41666666666666666667
2020-04-01,0.25000000000000000000
2020-07-01,0.25000000000000000000
2020-10-01,0.25000000000000000000
2021-01-01,0.25000000000000000000
2021-04-01,0.25000000000000000000
2021-07-01,0.25000000000000000000
2021-10-01,0.25000000000000000000
2022-01-01,0.25000000000000000000
2022-04-01,0.58333333333333333333
