DATE,CPALTT01CAQ657N
2009-01-01,-0.321731500438729
2009-04-01,0.850938967136144
2009-07-01,0.116380564445744
2009-10-01,0.145306596919495
2010-01-01,0.493325594892618
2010-04-01,0.635287323130254
2010-07-01,0.545193687230982
2010-10-01,0.57077625570778
2011-01-01,0.822928490351867
2011-04-01,1.37911623979733
2011-07-01,0.194336479733491
2011-10-01,0.277085065114993
2012-01-01,0.469743022934513
2012-04-01,0.632563256325619
2012-07-01,-0.163979229297608
2012-10-01,0.0
2013-01-01,0.437996167533534
2013-04-01,0.490596892886347
2013-07-01,0.216978573365868
2013-10-01,-0.216508795669812
2014-01-01,0.895036615134256
2014-04-01,1.31720430107527
2014-07-01,0.0795967100026573
2014-10-01,-0.371155885471884
2015-01-01,0.0532197977647376
2015-04-01,1.14361702127662
2015-07-01,0.368130423349961
2015-10-01,-0.235787267487546
2016-01-01,0.26260504201682
2016-04-01,1.15243583027762
2016-07-01,0.0517866390471067
2016-10-01,-0.077639751552799
2017-01-01,0.777000777000795
2017-04-01,0.565407350295561
2017-07-01,0.102223358037295
2017-10-01,0.331886647944873
2018-01-01,1.04325699745546
2018-04-01,0.805842357088894
2018-07-01,0.474644016987263
2018-10-01,-0.298359025360512
2019-01-01,0.623441396508739
2019-04-01,1.33828996282526
2019-07-01,0.269014428955749
2019-10-01,-0.146341463414642
2020-01-01,0.341963849535903
2020-04-01,-0.4381694255112
2020-07-01,0.513447432762842
2020-10-01,0.364874726343933
2021-01-01,0.99369849733397
2021-04-01,1.4398848092153
2021-07-01,1.20652945351313
2021-10-01,1.0051425899953
2022-01-01,2.05970840083317
2022-04-01,3.08390022675737
2022-07-01,0.835899692036924
2022-10-01,0.545375218150115
